id,title,authors,conference,year,official_page,pdf_link,status_or_award
ECCV2024-0069,LiDAR-Event Stereo Fusion with Hallucinations,Luca Bartolomei; Matteo Poggi; Andrea Conti; Stefano Mattoccia,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/999,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00932.pdf,2024 Poster
ECCV2024-0070,X-Former: Unifying Contrastive and Reconstruction Learning for MLLMs,Swetha Sirnam; Jinyu Yang; Tal Neiman; Mamshad Nayeem Rizve; Son Tran; Benjamin Yao; Trishul A Chilimbi; Shah Mubarak,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1118,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00935.pdf,2024 Poster
ECCV2024-0071,Multi-Granularity Sparse Relationship Matrix Prediction Network for End-to-End Scene Graph Generation,lei wang; Zejian Yuan; Badong Chen,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1513,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/10738.pdf,2024 Poster
ECCV2024-0072,Revisiting Supervision for Continual Representation Learning,Daniel Marczak; Sebastian Cygert; Tomasz Trzcinski; Bartlomiej Twardowski,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1203,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00944.pdf,2024 Poster
ECCV2024-0073,Dolphins: Multimodal Language Model for Driving,Yingzi Ma; Yulong Cao; Jiachen Sun; Marco Pavone; Chaowei Xiao,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/356,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/06203.pdf,2024 Poster
ECCV2024-0074,MMBENCH: Is Your Multi-Modal Model an All-around Player?,Yuan Liu; Haodong Duan; Yuanhan Zhang; Bo Li; Songyang Zhang; Wangbo Zhao; Yike Yuan; Jiaqi Wang; Conghui He; Ziwei Liu; Kai Chen; Dahua Lin,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2003,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00959.pdf,2024 Poster
ECCV2024-0075,HUMOS: Human Motion Model Conditioned on Body Shape,Shashank Tripathi; Omid Taheri; Christoph Lassner; Michael J. Black; Daniel Holden; Carsten Stoll,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/262,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/02441.pdf,2024 Poster
ECCV2024-0076,ZipLoRA: Any Subject in Any Style by Effectively Merging LoRAs,Viraj Shah; Nataniel Ruiz; Forrester Cole; Erika Lu; Svetlana Lazebnik; Yuanzhen Li; Varun Jampani,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/1760,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00148.pdf,2024 Poster
ECCV2024-0077,Implicit Filtering for Learning Neural Signed Distance Functions from 3D Point Clouds,Shengtao Li; Ge Gao; Yudong Liu; Ming Gu; Yushen Liu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/2066,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00960.pdf,2024 Poster
ECCV2024-0078,Unsupervised Exposure Correction,Ruodai Cui; Li Niu; Guosheng Hu,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/624,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/00986.pdf,2024 Poster
ECCV2024-0079,SceneScript: Reconstructing Scenes With An Autoregressive Structured Language Model,Armen Avetisyan; Christopher Xie; Henry Howard-Jenkins; Tsun-Yi Yang; Samir Aroudj; Suvam Patra; Fuyang Zhang; Luke Holland; Duncan Frost; Campbell Orme; Jakob Engel; Edward Miller; Richard Newcombe; Vasileios Balntas,ECCV,2024,https://eccv.ecva.net/virtual/2024/poster/200,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/07833.pdf,2024 Poster
