id,title,authors,conference,year,official_page,pdf_link,status_or_award
CVPR2026-1311,FLARE: A Failure-Aware Framework for Autonomous Correction and Recovery in Visual-Language Robotic Manipulation,Ganlong Zhao; Zijia Tang; Xingping Chen; Zhanghui Kuang; Ye Tian; Guanbin Li,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Zhao_FLARE_A_Failure-Aware_Framework_for_Autonomous_Correction_and_Recovery_in_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhao_FLARE_A_Failure-Aware_Framework_for_Autonomous_Correction_and_Recovery_in_CVPR_2026_paper.pdf,
CVPR2026-1312,SMV-EAR: Bring Spatiotemporal Multi-View Representation Learning into Efficient Event-Based Action Recognition,Rui Fan; Weidong Hao; Juntao Guan; Lai Rui; Tong Wu; Fanhong Zeng; Lin Gu,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Fan_SMV-EAR_Bring_Spatiotemporal_Multi-View_Representation_Learning_into_Efficient_Event-Based_Action_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Fan_SMV-EAR_Bring_Spatiotemporal_Multi-View_Representation_Learning_into_Efficient_Event-Based_Action_CVPR_2026_paper.pdf,
CVPR2026-1313,Render-to-Adapt: Unsupervised Personal Adaptation for Gaze Estimation,Yangshi Ge; Zheng Liu; Feng Lu,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Ge_Render-to-Adapt_Unsupervised_Personal_Adaptation_for_Gaze_Estimation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Ge_Render-to-Adapt_Unsupervised_Personal_Adaptation_for_Gaze_Estimation_CVPR_2026_paper.pdf,
CVPR2026-1314,"VideoAuto-R1: Video Auto Reasoning via Thinking Once, Answering Twice",Shuming Liu; Mingchen Zhuge; Changsheng Zhao; Jun Chen; Lemeng Wu; Zechun Liu; Chenchen Zhu; Zhipeng Cai; Chong Zhou; Haozhe Liu; Ernie Chang; Saksham Suri; Hongyu Xu; Qi Qian; Wei Wen; Balakrishnan Varadarajan; Zhuang Liu; Hu Xu; Florian Bordes; Raghuraman Krishnamoorthi; Bernard Ghanem; Vikas Chandra; Yunyang Xiong,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Liu_VideoAuto-R1_Video_Auto_Reasoning_via_Thinking_Once_Answering_Twice_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Liu_VideoAuto-R1_Video_Auto_Reasoning_via_Thinking_Once_Answering_Twice_CVPR_2026_paper.pdf,
CVPR2026-1315,Taming the Long Tail: Rebalancing Adversarial Training via Adaptive Perturbation,Lilin Zhang; Yimo Guo; Yue Li; Jiancheng Shi; Xianggen Liu,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_Taming_the_Long_Tail_Rebalancing_Adversarial_Training_via_Adaptive_Perturbation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Taming_the_Long_Tail_Rebalancing_Adversarial_Training_via_Adaptive_Perturbation_CVPR_2026_paper.pdf,
CVPR2026-1316,ReFAct: Empowering Multimodal Web Agents with Visual and Context Focusing,Rui Wu; Shuo Zhang; Xiaoxuan Tang; Ruirui Zhang; Yi Liu; Tao Jiang; Wenhao Xu; Yong Li,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Wu_ReFAct_Empowering_Multimodal_Web_Agents_with_Visual_and_Context_Focusing_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wu_ReFAct_Empowering_Multimodal_Web_Agents_with_Visual_and_Context_Focusing_CVPR_2026_paper.pdf,
CVPR2026-1317,Parallax to Align Them All: An OmniParallax Attention Mechanism for Distributed Multi-View Image Compression,Haotian Zhang; Feiyue Long; Yixin Yu; Jian Xue; Haocheng Tang; Tongda Xu; Zhenning Shi; Yan Wang; Siwei Ma; Jiaqi Zhang,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_Parallax_to_Align_Them_All_An_OmniParallax_Attention_Mechanism_for_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhang_Parallax_to_Align_Them_All_An_OmniParallax_Attention_Mechanism_for_CVPR_2026_paper.pdf,
CVPR2026-1318,SharpTimeGS: Sharp and Stable Dynamic Gaussian Splatting via Lifespan Modulation,Zhanfeng Liao; Jiajun Zhang; Hanzhang Tu; Zhixi Wang; Yunqi Gao; Hongwen Zhang; Yebin Liu,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Liao_SharpTimeGS_Sharp_and_Stable_Dynamic_Gaussian_Splatting_via_Lifespan_Modulation_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Liao_SharpTimeGS_Sharp_and_Stable_Dynamic_Gaussian_Splatting_via_Lifespan_Modulation_CVPR_2026_paper.pdf,
CVPR2026-1319,Extending One-Step Image Generation from Class Labels to Text via Discriminative Text Representation,Chenxi Zhao; Chen Zhu; Xiaokun Feng; Aiming Hao; Jiashu Zhu; Jiachen Lei; Jiahong Wu; Xiangxiang Chu; Jufeng Yang,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Zhao_Extending_One-Step_Image_Generation_from_Class_Labels_to_Text_via_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhao_Extending_One-Step_Image_Generation_from_Class_Labels_to_Text_via_CVPR_2026_paper.pdf,
CVPR2026-1320,VidPrism: Heterogeneous Mixture of Experts for Image-to-Video Transfer,Rui Lin; Chuanming Wang; Huadong Ma,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Lin_VidPrism_Heterogeneous_Mixture_of_Experts_for_Image-to-Video_Transfer_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Lin_VidPrism_Heterogeneous_Mixture_of_Experts_for_Image-to-Video_Transfer_CVPR_2026_paper.pdf,
CVPR2026-1321,GeoAgent: Learning to Geolocate Everywhere with Reinforced Geographic Characteristics,Modi Jin; Yiming Zhang; Boyuan Sun; Dingwen Zhang; Ming-Ming Cheng; Qibin Hou,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Jin_GeoAgent_Learning_to_Geolocate_Everywhere_with_Reinforced_Geographic_Characteristics_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Jin_GeoAgent_Learning_to_Geolocate_Everywhere_with_Reinforced_Geographic_Characteristics_CVPR_2026_paper.pdf,
CVPR2026-1322,ViHOI: Human-Object Interaction Synthesis with Visual Priors,Songjin Cai; Linjie Zhong; Ling Guo; Changxing Ding,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Cai_ViHOI_Human-Object_Interaction_Synthesis_with_Visual_Priors_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Cai_ViHOI_Human-Object_Interaction_Synthesis_with_Visual_Priors_CVPR_2026_paper.pdf,
CVPR2026-1323,FILTR: Extracting Topological Features from Pretrained 3D Models,Louis Martinez; Maks Ovsjanikov,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Martinez_FILTR_Extracting_Topological_Features_from_Pretrained_3D_Models_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Martinez_FILTR_Extracting_Topological_Features_from_Pretrained_3D_Models_CVPR_2026_paper.pdf,
CVPR2026-1324,MSGNav: Unleashing the Power of Multi-modal 3D Scene Graph for Zero-Shot Embodied Navigation,Xun Huang; Shijia Zhao; Yunxiang Wang; Xin Lu; Wanfa Zhang; Rongsheng Qu; Weixin Li; Yunhong Wang; Chenglu Wen,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Huang_MSGNav_Unleashing_the_Power_of_Multi-modal_3D_Scene_Graph_for_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Huang_MSGNav_Unleashing_the_Power_of_Multi-modal_3D_Scene_Graph_for_CVPR_2026_paper.pdf,
CVPR2026-1325,Breaking the Scalability Limit of Multi-Projector Calibration with Embedded Cameras,Takumi Kawano; Kohei Miura; Daisuke Iwai,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Kawano_Breaking_the_Scalability_Limit_of_Multi-Projector_Calibration_with_Embedded_Cameras_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Kawano_Breaking_the_Scalability_Limit_of_Multi-Projector_Calibration_with_Embedded_Cameras_CVPR_2026_paper.pdf,
CVPR2026-1326,A Combination of Noise and Bilateral Filters Achieve Supralinear and Scalable Adversarial Robustness in CNNs,Nicolas Stalder; Benjamin F. Grewe; Matteo Saponati; Pau Vilimelis Aceituno,CVPR,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Stalder_A_Combination_of_Noise_and_Bilateral_Filters_Achieve_Supralinear_and_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Stalder_A_Combination_of_Noise_and_Bilateral_Filters_Achieve_Supralinear_and_CVPR_2026_paper.pdf,
