id,title,authors,conference,year,official_page,pdf_link,status_or_award,source_url
ICML2024-0050,Beyond the Norms: Detecting Prediction Errors in Regression Models,"Andres Altieri, Marco Romanelli, Georg Pichler, Florence Alberge, Pablo Piantanida",ICML,2024,https://proceedings.mlr.press/v235/altieri24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/altieri24a/altieri24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0051,Position: Stop Making Unscientific AGI Performance Claims,"Patrick Altmeyer, Andrew M. Demetriou, Antony Bartlett, Cynthia C. S. Liem",ICML,2024,https://proceedings.mlr.press/v235/altmeyer24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/altmeyer24a/altmeyer24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0052,Hyperbolic Optimizer as a Dynamical System,"Nico Alvarado, Hans Lobel",ICML,2024,https://proceedings.mlr.press/v235/alvarado24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/alvarado24a/alvarado24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0053,Stationarity without mean reversion in improper Gaussian processes,Luca Ambrogioni,ICML,2024,https://proceedings.mlr.press/v235/ambrogioni24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/ambrogioni24a/ambrogioni24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0054,Robust Graph Matching when Nodes are Corrupt,"Taha Ameen, Bruce Hajek",ICML,2024,https://proceedings.mlr.press/v235/ameen24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/ameen24a/ameen24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0055,Fast Algorithms for Hypergraph PageRank with Applications to Semi-Supervised Learning,"Konstantinos Ameranis, Adela Frances Depavia, Lorenzo Orecchia, Erasmo Tani",ICML,2024,https://proceedings.mlr.press/v235/ameranis24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/ameranis24a/ameranis24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0056,Scalable and Flexible Causal Discovery with an Efficient Test for Adjacency,"Alan Nawzad Amin, Andrew Gordon Wilson",ICML,2024,https://proceedings.mlr.press/v235/amin24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/amin24a/amin24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0057,Generalization Error of Graph Neural Networks in the Mean-field Regime,"Gholamali Aminian, Yixuan He, Gesine Reinert, Lukasz Szpruch, Samuel N. Cohen",ICML,2024,https://proceedings.mlr.press/v235/aminian24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/aminian24a/aminian24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0058,Scalable Online Exploration via Coverability,"Philip Amortila, Dylan J Foster, Akshay Krishnamurthy",ICML,2024,https://proceedings.mlr.press/v235/amortila24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/amortila24a/amortila24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0059,WAVES: Benchmarking the Robustness of Image Watermarks,"Bang An, Mucong Ding, Tahseen Rabbani, Aakriti Agrawal, Yuancheng Xu, Chenghao Deng, Sicheng Zhu, Abdirisak Mohamed, Yuxin Wen, Tom Goldstein, Furong Huang",ICML,2024,https://proceedings.mlr.press/v235/an24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/an24a/an24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0060,Training-Free Long-Context Scaling of Large Language Models,"Chenxin An, Fei Huang, Jun Zhang, Shansan Gong, Xipeng Qiu, Chang Zhou, Lingpeng Kong",ICML,2024,https://proceedings.mlr.press/v235/an24b.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/an24b/an24b.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0061,Navigating Scaling Laws: Compute Optimality in Adaptive Model Training,"Sotiris Anagnostidis, Gregor Bachmann, Imanol Schlag, Thomas Hofmann",ICML,2024,https://proceedings.mlr.press/v235/anagnostidis24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/anagnostidis24a/anagnostidis24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0062,Adaptive Hierarchical Certification for Segmentation using Randomized Smoothing,"Alaa Anani, Tobias Lorenz, Bernt Schiele, Mario Fritz",ICML,2024,https://proceedings.mlr.press/v235/anani24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/anani24a/anani24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0063,Adaptive Observation Cost Control for Variational Quantum Eigensolvers,"Christopher J. Anders, Kim Andrea Nicoli, Bingting Wu, Naima Elosegui, Samuele Pedrielli, Lena Funcke, Karl Jansen, Stefan Kühn, Shinichi Nakajima",ICML,2024,https://proceedings.mlr.press/v235/anders24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/anders24a/anders24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0064,"Fast, Scalable, Warm-Start Semidefinite Programming with Spectral Bundling and Sketching","Rico Angell, Andrew Mccallum",ICML,2024,https://proceedings.mlr.press/v235/angell24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/angell24a/angell24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0065,Online conformal prediction with decaying step sizes,"Anastasios Nikolas Angelopoulos, Rina Barber, Stephen Bates",ICML,2024,https://proceedings.mlr.press/v235/angelopoulos24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/angelopoulos24a/angelopoulos24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0066,A Rate-Distortion View of Uncertainty Quantification,"Ifigeneia Apostolopoulou, Benjamin Eysenbach, Frank Nielsen, Artur Dubrawski",ICML,2024,https://proceedings.mlr.press/v235/apostolopoulou24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/apostolopoulou24a/apostolopoulou24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0067,Practical Performance Guarantees for Pipelined DNN Inference,"Aaron Archer, Matthew Fahrbach, Kuikui Liu, Prakash Prabhu",ICML,2024,https://proceedings.mlr.press/v235/archer24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/archer24a/archer24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0068,Unsupervised Concept Discovery Mitigates Spurious Correlations,"Md Rifat Arefin, Yan Zhang, Aristide Baratin, Francesco Locatello, Irina Rish, Dianbo Liu, Kenji Kawaguchi",ICML,2024,https://proceedings.mlr.press/v235/arefin24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/arefin24a/arefin24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0069,Accelerating Legacy Numerical Solvers by Non-intrusive Gradient-based Meta-solving,"Sohei Arisaka, Qianxiao Li",ICML,2024,https://proceedings.mlr.press/v235/arisaka24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/arisaka24a/arisaka24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
ICML2024-0070,Causal Action Influence Aware Counterfactual Data Augmentation,"Núria Armengol Urpı́, Marco Bagatella, Marin Vlastelica, Georg Martius",ICML,2024,https://proceedings.mlr.press/v235/armengol-urpi-24a.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/armengol-urpi-24a/armengol-urpi-24a.pdf,Main Conference,https://proceedings.mlr.press/v235/
